Variant,Checkpoint,Loop,Timestamp,Swipes,Pid,PssKB,NativeKB,DalvikKB,GraphicsKB,PrivateOtherKB,SwapPssKB,WebViews,RawFile,RendererPssKB
before,cold-library,-1,2026-09-21T14:41:56.4868542+02:00,0,11569,174036,48046,2577,53301,16768,297,0,001--1-cold-library.txt,
before,grid-scrolled,-1,2026-09-21T14:42:33.4811857+02:00,0,11569,208505,50614,10451,74601,22896,159,0,002--1-grid-scrolled.txt,
before,reader-start,0,2026-09-21T14:43:12.8438929+02:00,0,11569,450696,85556,8009,235349,35616,153,0,003-0-reader-start.txt,176626
before,reader-end,0,2026-09-21T14:48:28.3416468+02:00,276,11569,537246,86820,7665,328005,40256,1762,0,027-0-reader-end.txt,122685
before,back-grid,0,2026-09-21T14:48:46.7578937+02:00,276,11569,530108,82520,8551,318681,44044,5746,0,028-0-back-grid.txt,122225
before,reader-start,1,2026-09-21T14:49:17.2467057+02:00,0,11569,523074,82792,8683,318681,38580,5746,0,029-1-reader-start.txt,120439
before,reader-end,1,2026-09-21T14:54:33.4762936+02:00,276,11569,508947,39551,7624,325717,37508,52798,0,053-1-reader-end.txt,112650
before,back-grid,1,2026-09-21T14:54:51.7316413+02:00,276,11569,505490,39491,8536,322201,37076,52486,0,054-1-back-grid.txt,112649
before,reader-start,2,2026-09-21T14:55:22.0055316+02:00,0,11569,506938,31719,8625,322233,39252,61564,0,055-2-reader-start.txt,111994
before,reader-end,2,2026-09-21T15:00:40.1084100+02:00,276,11569,485601,26217,7623,330385,31424,69952,0,079-2-reader-end.txt,74127
before,back-grid,2,2026-09-21T15:00:59.2240419+02:00,276,11569,482876,26241,8503,322753,35496,69888,0,080-2-back-grid.txt,74125
before,reader-start,3,2026-09-21T15:01:29.9402938+02:00,0,11569,523557,36551,8427,337865,38804,58008,1,081-3-reader-start.txt,169779
before,reader-end,3,2026-09-21T15:06:49.5400820+02:00,264,11569,534223,37862,7636,330285,44320,56695,0,104-3-reader-end.txt,180588
before,back-grid,3,2026-09-21T15:07:08.4261210+02:00,264,11569,525618,37998,8548,322921,43064,56479,0,105-3-back-grid.txt,180182
before,reader-start,4,2026-09-21T15:07:38.8292774+02:00,0,11569,520287,37978,8648,322909,38480,56475,0,106-4-reader-start.txt,180299
before,reader-end,4,2026-09-21T15:13:00.7116230+02:00,276,11569,519476,37042,7630,330477,40252,57711,0,130-4-reader-end.txt,158426
before,back-grid,4,2026-09-21T15:13:21.0585977+02:00,276,11569,510468,36950,8500,322837,38396,57675,0,131-4-back-grid.txt,155709
before,reader-start,5,2026-09-21T15:13:53.7278234+02:00,0,11569,512987,37018,8624,322837,41424,57671,0,132-5-reader-start.txt,154400
before,reader-end,5,2026-09-21T15:19:50.6090003+02:00,276,11569,515100,37114,7624,330477,43920,57599,0,156-5-reader-end.txt,154154
before,back-grid,5,2026-09-21T15:20:17.6140690+02:00,276,11569,496787,27072,8674,322837,36404,71644,0,157-5-back-grid.txt,136896
before,grid-idle-60s,5,2026-09-21T15:21:25.9229108+02:00,0,11569,495680,26844,7629,322837,36328,71647,0,158-5-grid-idle-60s.txt,137067
after,cold-library,-1,2026-09-21T15:24:52.0969654+02:00,0,5715,184093,54090,930,41045,21816,256,0,001--1-cold-library.txt,
after,grid-scrolled,-1,2026-09-21T15:25:34.8402726+02:00,0,5715,220825,55814,7912,74593,20920,160,0,002--1-grid-scrolled.txt,
after,reader-start,0,2026-09-21T15:26:23.0672293+02:00,0,5715,443268,52993,6743,216897,34028,34485,1,003-0-reader-start.txt,149823
after,reader-end,0,2026-09-21T15:32:09.1614410+02:00,288,5715,386887,45819,5077,197813,30820,47715,0,028-0-reader-end.txt,120447
after,back-grid,0,2026-09-21T15:32:28.2141993+02:00,288,5715,383492,46180,6020,190701,33364,47184,0,029-0-back-grid.txt,120904
after,reader-start,1,2026-09-21T15:32:58.9589504+02:00,0,5715,375438,41692,6106,193945,28404,56271,0,030-1-reader-start.txt,111027
after,reader-end,1,2026-09-21T15:38:17.5911778+02:00,276,5715,354941,20676,5141,193665,26256,80658,0,054-1-reader-end.txt,82568
after,back-grid,1,2026-09-21T15:38:37.1413860+02:00,276,5715,347914,21880,6005,186553,25460,79098,0,055-1-back-grid.txt,82466
after,reader-start,2,2026-09-21T15:39:07.3868209+02:00,0,5715,355690,22660,6336,193945,25256,78430,0,056-2-reader-start.txt,82428
after,reader-end,2,2026-09-21T15:44:22.5161771+02:00,276,5715,348927,21524,5138,194197,25608,80576,0,080-2-reader-end.txt,73126
after,back-grid,2,2026-09-21T15:44:40.3474693+02:00,276,5715,339915,21248,6010,186561,23708,80516,0,081-2-back-grid.txt,73126
